,HHID,Nonfood Consumption Total (annual) (nominal),Nonfood Consumption Total (annual) (real)
8426,1e6412f96cb44f60a1591de17279ddca,27262.042908302396,283.3448923108931
8427,12011ef2342848e0b9607a273d09b75d,13790.914566700616,143.33427674198603
8428,bb0f3d462cde41c79d155cd36bc66ec0,17428.404808057865,181.14011118315386
8429,28fb868de6f3496e99a7b6ff7f3a3130,56764.75294793149,589.9778994987888
8430,acf6c2f676c543e4a66211acfc0b8ae0,56463.92548542892,516.7395646143475
8431,bfb517e703d64ad682a7444aa77e2a33,70073.26163175458,641.2878027058955
8432,23122e528af84912a2252f59bec56b0a,73193.04785685343,669.8390761391151
8433,5917785405044ad88af421670a7ef14a,58070.26668669241,531.440279200286
8434,147efb67332940e58a632c8151089ea3,225929.99920209893,2067.638202929058
8435,30b36cbab12c419abee70c5cc527fd53,340702.5988106581,3117.9998744123595
8436,69b25bc7d34c4508a2b28b21a3e2dd41,52908.83628478496,484.20453928777863
8437,2ad3723ed9b245439caa62e568312b98,35126.54030104337,321.4667238510295
8438,d49764ac878943a1919b4e264c2222ee,154206.80226290994,1411.2507264920912
8439,186cde554c8e4e1086bbf4b6da3d3899,99039.446428767,906.3769475335885
8440,5715e908b2d04857a2416c1abf2fd3a5,81964.31583113909,750.1108807503228
8441,d2363b022dea44ed9d11703d147bb59c,157104.61343258596,1437.7705560873503
8442,6530885094e4475e956eeca93f0f9c7c,188904.1615233339,1728.7897244161013
8443,b84fe5ff40b24cfe9d717df7001bcc59,56571.335561198226,517.7225468514318
8444,f99606e3f3e147ffb48f0b584c570a2d,33016.94112898305,302.160355257111
8445,81e6bcf492eb4a67aca35e075d1f3150,78411.18125339302,717.5937434996637
8446,cabedc9feab543fb9c97555370e8619e,197113.9359676584,1984.397847922277
8447,1b67e634f1dc4550b430f07edd5dea32,77550.03011685339,780.7165541833696
8448,fe55a17f91f14b01ba3958909bbf08d4,220375.95947601364,2218.582758094592
8449,2e14449a84c04c43811b6240b0b29b75,14368.834454306087,144.65483644421178
8450,266b79bf9d504fcbab2a0ddc6582b62a,44831.48986900342,451.3304022796059
8451,e74dcb455297443ab5ca35cee12dced4,64470.26668669242,649.0391348536547
8452,cb671a0d9b8848e0bbfb02451e8a60a2,55762.723001609884,561.3780018924515
8453,020871d760c749caaccc159ab8a5259d,121033.65773486842,1218.4776726017071
8454,58ce8b2384f14850bbf02afc90411500,115910.45164328504,1166.9010091218179
8455,e73f35b949374f10afba43a2c353a931,176863.65826680243,1780.532975090554
8456,7a1f19fa459740e49311dbf18ea33bd6,177312.15868218036,1785.0481467586508
8457,a82b89311c364ab09bb8e258e0a0e496,47287.831070266926,476.05903533957326
8458,44b6a76aa4ca45219d46b812044a3bf7,106897.38648293041,1076.1641110958683
8459,f35a6e11c976421ebe6cef1ce7b82b34,302231.5199858568,3042.6442193951057
8460,df76f3567f6f40ca88d69a086166cbdd,8994.655627470951,90.55156441543501
8461,d5bb1c307d2b4defb86dd51a322b9ebc,34986.29980427956,352.2162839352321
