,rexp_cat092,annual_use_value
2434,0.0,89.62799689079607
350,0.0,89.54866466842341
4520,0.0,89.08815079221158
9737,0.0,88.79404108975693
8934,0.0,88.60441772896381
7296,0.0,87.83044482776741
4712,0.0,85.88777284576446
7510,0.0,85.65945083991151
436,0.0,85.62075219485169
2116,0.0,84.87386834519717
1766,0.0,84.63393674582629
7512,0.0,84.6107175587904
4036,0.0,84.01088856036317
1323,0.0,83.93736113474952
8206,0.0,83.83093986083503
5589,3256.8887,83.24078552367277
2788,0.0,83.08599094343349
9149,0.0,83.05503202738564
4158,0.0,82.91626974295684
5890,0.0,82.83444975054466
6534,0.0,81.85095132823865
50,0.0,81.61157256665435
8983,0.0,81.42194920586122
6553,0.0,81.2323258450681
4567,0.0,80.74472291731438
3749,0.0,80.62282218537595
7772,0.0,80.4157844343059
2248,0.0,79.6205272783266
1532,0.0,79.5798937010138
2298,1761.4373,79.53539025919501
473,0.0,79.22193123421047
340,0.0,79.01682841539342
167,0.0,78.9905686205314
5930,0.0,78.85622903839517
8108,0.0,78.80979066432339
1957,0.0,78.7846365450345
1467,0.0,78.73626323870972
3660,0.0,78.55050974242259
2524,0.0,78.48931059944941
5767,0.0,78.42280421372519
776,0.0,78.33573226234058
2653,0.0,78.03449095243921
5181,0.0,77.0451324495956
7198,0.0,77.01030366904176
5154,0.0,76.81294057923667
1911,0.0,75.24564545431396
797,0.0,75.11407006111057
5744,0.0,74.58389862379104
4537,0.0,74.5297205207073
4292,0.0,74.22980602149369
6794,0.0,74.00341894789375
9188,0.0,73.95311070931598
9179,0.0,73.92989152228009
9222,0.0,73.36489130440671
570,0.0,73.05917200843413
7838,0.0,72.27414235150636
8963,0.0,72.19619222360015
7859,0.0,72.06959237047589
5421,0.0,71.92143184367542
4482,0.0,71.86493182188809
9626,0.0,71.72406875387034
596,0.0,71.54992485110115
6081,0.0,71.48026728999348
9028,0.0,71.19002745204483
6563,0.0,70.84754444326542
5359,0.0,70.79917113694064
